model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.7644230769230769,0.7416107382550335,0.7594501718213058,0.7504244482173175,0.8470893573986358
Logistic regression,0.7451923076923077,0.7171052631578947,0.7491408934707904,0.7327731092436974,0.8381783845701373
Random forest,0.7371794871794872,0.7275985663082437,0.697594501718213,0.712280701754386,0.8371361051773423
Majority baseline,0.5336538461538461,0.0,0.0,0.0,0.5
