feature,importance,signed_coefficient,importance_type,model
text__natural,0.0,,tree impurity importance,XGBoost
text__nations,0.0,,tree impurity importance,XGBoost
text__monday,0.0,,tree impurity importance,XGBoost
text__moderators,0.0,,tree impurity importance,XGBoost
text__police,0.0,,tree impurity importance,XGBoost
text__matter,0.0,,tree impurity importance,XGBoost
text__members,0.0,,tree impurity importance,XGBoost
text__meltdown,0.0,,tree impurity importance,XGBoost
text__meetings,0.0,,tree impurity importance,XGBoost
text__meeting,0.0,,tree impurity importance,XGBoost
text__meet,0.0,,tree impurity importance,XGBoost
text__medicine,0.0,,tree impurity importance,XGBoost
text__man,0.0,,tree impurity importance,XGBoost
text__measures,0.0,,tree impurity importance,XGBoost
text__measure,0.0,,tree impurity importance,XGBoost
text__means,0.0,,tree impurity importance,XGBoost
text__mean,0.0,,tree impurity importance,XGBoost
text__mccartney,0.0,,tree impurity importance,XGBoost
text__maybe,0.0,,tree impurity importance,XGBoost
text__max,0.0,,tree impurity importance,XGBoost
text__matrix,0.0,,tree impurity importance,XGBoost
text__mental,0.0,,tree impurity importance,XGBoost
text__maths,0.0,,tree impurity importance,XGBoost
text__materials,0.0,,tree impurity importance,XGBoost
text__material,0.0,,tree impurity importance,XGBoost
text__match,0.0,,tree impurity importance,XGBoost
text__masterpiece,0.0,,tree impurity importance,XGBoost
text__master,0.0,,tree impurity importance,XGBoost
text__massive,0.0,,tree impurity importance,XGBoost
text__mass,0.0,,tree impurity importance,XGBoost
text__markets,0.0,,tree impurity importance,XGBoost
text__mark zuckerberg,0.0,,tree impurity importance,XGBoost
text__mark,0.0,,tree impurity importance,XGBoost
text__map,0.0,,tree impurity importance,XGBoost
text__manipulated,0.0,,tree impurity importance,XGBoost
text__managers,0.0,,tree impurity importance,XGBoost
text__men,0.0,,tree impurity importance,XGBoost
text__malicious,0.0,,tree impurity importance,XGBoost
text__moderation,0.0,,tree impurity importance,XGBoost
text__minister says,0.0,,tree impurity importance,XGBoost
text__models,0.0,,tree impurity importance,XGBoost
text__model,0.0,,tree impurity importance,XGBoost
text__mixed,0.0,,tree impurity importance,XGBoost
text__mitigate,0.0,,tree impurity importance,XGBoost
text__misuse,0.0,,tree impurity importance,XGBoost
text__mistakes,0.0,,tree impurity importance,XGBoost
text__missions,0.0,,tree impurity importance,XGBoost
text__mission,0.0,,tree impurity importance,XGBoost
text__missing,0.0,,tree impurity importance,XGBoost
text__missed,0.0,,tree impurity importance,XGBoost
text__misinformation,0.0,,tree impurity importance,XGBoost
text__mirror,0.0,,tree impurity importance,XGBoost
text__making,0.0,,tree impurity importance,XGBoost
text__ministers,0.0,,tree impurity importance,XGBoost
text__mining,0.0,,tree impurity importance,XGBoost
text__mental health,0.0,,tree impurity importance,XGBoost
text__minds,0.0,,tree impurity importance,XGBoost
text__mind,0.0,,tree impurity importance,XGBoost
text__millions,0.0,,tree impurity importance,XGBoost
text__million,0.0,,tree impurity importance,XGBoost
text__mike,0.0,,tree impurity importance,XGBoost
text__midjourney,0.0,,tree impurity importance,XGBoost
text__middle,0.0,,tree impurity importance,XGBoost
text__microsoft says,0.0,,tree impurity importance,XGBoost
text__microsoft openai,0.0,,tree impurity importance,XGBoost
text__making ai,0.0,,tree impurity importance,XGBoost
text__michael,0.0,,tree impurity importance,XGBoost
text__metaverse,0.0,,tree impurity importance,XGBoost
text__male,0.0,,tree impurity importance,XGBoost
text__met,0.0,,tree impurity importance,XGBoost
text__north,0.0,,tree impurity importance,XGBoost
text__norwood,0.0,,tree impurity importance,XGBoost
text__notes,0.0,,tree impurity importance,XGBoost
text__peers,0.0,,tree impurity importance,XGBoost
text__photo,0.0,,tree impurity importance,XGBoost
text__phones,0.0,,tree impurity importance,XGBoost
text__losing,0.0,,tree impurity importance,XGBoost
text__philosopher,0.0,,tree impurity importance,XGBoost
text__peter kyle,0.0,,tree impurity importance,XGBoost
text__peter,0.0,,tree impurity importance,XGBoost
text__personalised,0.0,,tree impurity importance,XGBoost
text__personal,0.0,,tree impurity importance,XGBoost
text__performances,0.0,,tree impurity importance,XGBoost
text__performance,0.0,,tree impurity importance,XGBoost
text__perform,0.0,,tree impurity importance,XGBoost
text__loss,0.0,,tree impurity importance,XGBoost
text__perfect,0.0,,tree impurity importance,XGBoost
text__people,0.0,,tree impurity importance,XGBoost
text__peer,0.0,,tree impurity importance,XGBoost
text__photos,0.0,,tree impurity importance,XGBoost
text__losses,0.0,,tree impurity importance,XGBoost
text__paying,0.0,,tree impurity importance,XGBoost
text__pay,0.0,,tree impurity importance,XGBoost
text__pause,0.0,,tree impurity importance,XGBoost
text__paul mccartney,0.0,,tree impurity importance,XGBoost
text__paul,0.0,,tree impurity importance,XGBoost
text__patients,0.0,,tree impurity importance,XGBoost
text__patient,0.0,,tree impurity importance,XGBoost
text__past,0.0,,tree impurity importance,XGBoost
text__party,0.0,,tree impurity importance,XGBoost
text__lot,0.0,,tree impurity importance,XGBoost
text__partnership,0.0,,tree impurity importance,XGBoost
text__partners,0.0,,tree impurity importance,XGBoost
text__parkinson,0.0,,tree impurity importance,XGBoost
text__photography,0.0,,tree impurity importance,XGBoost
text__physical,0.0,,tree impurity importance,XGBoost
text__novel,0.0,,tree impurity importance,XGBoost
text__play,0.0,,tree impurity importance,XGBoost
text__points,0.0,,tree impurity importance,XGBoost
text__point,0.0,,tree impurity importance,XGBoost
text__poetry,0.0,,tree impurity importance,XGBoost
text__poems,0.0,,tree impurity importance,XGBoost
text__podcast,0.0,,tree impurity importance,XGBoost
text__pm,0.0,,tree impurity importance,XGBoost
text__plus,0.0,,tree impurity importance,XGBoost
text__plenty,0.0,,tree impurity importance,XGBoost
text__pledge,0.0,,tree impurity importance,XGBoost
text__plays,0.0,,tree impurity importance,XGBoost
text__playing,0.0,,tree impurity importance,XGBoost
text__lords,0.0,,tree impurity importance,XGBoost
text__lose,0.0,,tree impurity importance,XGBoost
text__players,0.0,,tree impurity importance,XGBoost
text__platforms,0.0,,tree impurity importance,XGBoost
text__physicist,0.0,,tree impurity importance,XGBoost
text__platform,0.0,,tree impurity importance,XGBoost
text__planning,0.0,,tree impurity importance,XGBoost
text__planned,0.0,,tree impurity importance,XGBoost
text__planet,0.0,,tree impurity importance,XGBoost
text__plan,0.0,,tree impurity importance,XGBoost
text__plagiarism,0.0,,tree impurity importance,XGBoost
text__place,0.0,,tree impurity importance,XGBoost
text__pixel,0.0,,tree impurity importance,XGBoost
text__pioneer,0.0,,tree impurity importance,XGBoost
text__loses,0.0,,tree impurity importance,XGBoost
text__piece,0.0,,tree impurity importance,XGBoost
text__pictures,0.0,,tree impurity importance,XGBoost
text__picture,0.0,,tree impurity importance,XGBoost
text__physics,0.0,,tree impurity importance,XGBoost
text__park,0.0,,tree impurity importance,XGBoost
text__paris summit,0.0,,tree impurity importance,XGBoost
text__paris,0.0,,tree impurity importance,XGBoost
text__ones,0.0,,tree impurity importance,XGBoost
text__operator,0.0,,tree impurity importance,XGBoost
text__opens,0.0,,tree impurity importance,XGBoost
text__opening,0.0,,tree impurity importance,XGBoost
text__openai says,0.0,,tree impurity importance,XGBoost
text__low,0.0,,tree impurity importance,XGBoost
text__openai sam,0.0,,tree impurity importance,XGBoost
text__openai new,0.0,,tree impurity importance,XGBoost
text__openai launches,0.0,,tree impurity importance,XGBoost
text__openai ceo,0.0,,tree impurity importance,XGBoost
text__open source,0.0,,tree impurity importance,XGBoost
text__open letter,0.0,,tree impurity importance,XGBoost
text__open ai,0.0,,tree impurity importance,XGBoost
text__open,0.0,,tree impurity importance,XGBoost
text__online safety,0.0,,tree impurity importance,XGBoost
text__old,0.0,,tree impurity importance,XGBoost
text__papers,0.0,,tree impurity importance,XGBoost
text__oil,0.0,,tree impurity importance,XGBoost
text__officials,0.0,,tree impurity importance,XGBoost
text__official,0.0,,tree impurity importance,XGBoost
text__officer,0.0,,tree impurity importance,XGBoost
text__office,0.0,,tree impurity importance,XGBoost
text__offers,0.0,,tree impurity importance,XGBoost
text__offer,0.0,,tree impurity importance,XGBoost
text__offensive,0.0,,tree impurity importance,XGBoost
text__lyrics,0.0,,tree impurity importance,XGBoost
text__numbers,0.0,,tree impurity importance,XGBoost
text__machines,0.0,,tree impurity importance,XGBoost
text__nude,0.0,,tree impurity importance,XGBoost
text__nuclear,0.0,,tree impurity importance,XGBoost
text__nsw,0.0,,tree impurity importance,XGBoost
text__opinion,0.0,,tree impurity importance,XGBoost
text__oppenheimer,0.0,,tree impurity importance,XGBoost
text__opportunities,0.0,,tree impurity importance,XGBoost
text__opportunity,0.0,,tree impurity importance,XGBoost
text__reveals,0.0,,tree impurity importance,XGBoost
text__paper,0.0,,tree impurity importance,XGBoost
text__panic,0.0,,tree impurity importance,XGBoost
text__panel,0.0,,tree impurity importance,XGBoost
text__love,0.0,,tree impurity importance,XGBoost
text__pandemic,0.0,,tree impurity importance,XGBoost
text__palestinian,0.0,,tree impurity importance,XGBoost
text__palantir,0.0,,tree impurity importance,XGBoost
text__painting,0.0,,tree impurity importance,XGBoost
text__loved,0.0,,tree impurity importance,XGBoost
text__paid,0.0,,tree impurity importance,XGBoost
text__pace,0.0,,tree impurity importance,XGBoost
text__oxford,0.0,,tree impurity importance,XGBoost
text__owners,0.0,,tree impurity importance,XGBoost
text__owner,0.0,,tree impurity importance,XGBoost
text__owned,0.0,,tree impurity importance,XGBoost
text__oversight,0.0,,tree impurity importance,XGBoost
text__overhaul,0.0,,tree impurity importance,XGBoost
text__outside,0.0,,tree impurity importance,XGBoost
text__output,0.0,,tree impurity importance,XGBoost
text__organisation,0.0,,tree impurity importance,XGBoost
text__orders,0.0,,tree impurity importance,XGBoost
text__ordered,0.0,,tree impurity importance,XGBoost
text__order,0.0,,tree impurity importance,XGBoost
text__option,0.0,,tree impurity importance,XGBoost
text__optimistic,0.0,,tree impurity importance,XGBoost
text__optimism,0.0,,tree impurity importance,XGBoost
text__opt,0.0,,tree impurity importance,XGBoost
text__opposition,0.0,,tree impurity importance,XGBoost
text__permission,0.0,,tree impurity importance,XGBoost
text__says report,0.0,,tree impurity importance,XGBoost
text__reveals ai,0.0,,tree impurity importance,XGBoost
text__tony blair,0.0,,tree impurity importance,XGBoost
text__translators,0.0,,tree impurity importance,XGBoost
text__transparency,0.0,,tree impurity importance,XGBoost
text__transparent,0.0,,tree impurity importance,XGBoost
text__travel,0.0,,tree impurity importance,XGBoost
text__treat,0.0,,tree impurity importance,XGBoost
text__treatment,0.0,,tree impurity importance,XGBoost
text__trend,0.0,,tree impurity importance,XGBoost
text__trial,0.0,,tree impurity importance,XGBoost
text__trial ai,0.0,,tree impurity importance,XGBoost
text__trials,0.0,,tree impurity importance,XGBoost
text__tried,0.0,,tree impurity importance,XGBoost
text__tries,0.0,,tree impurity importance,XGBoost
text__true,0.0,,tree impurity importance,XGBoost
text__truly,0.0,,tree impurity importance,XGBoost
text__trump administration,0.0,,tree impurity importance,XGBoost
text__translation,0.0,,tree impurity importance,XGBoost
text__training ai,0.0,,tree impurity importance,XGBoost
text__trained,0.0,,tree impurity importance,XGBoost
text__touch,0.0,,tree impurity importance,XGBoost
text__tool,0.0,,tree impurity importance,XGBoost
text__tool help,0.0,,tree impurity importance,XGBoost
text__tool predict,0.0,,tree impurity importance,XGBoost
text__tools used,0.0,,tree impurity importance,XGBoost
text__tories,0.0,,tree impurity importance,XGBoost
text__tory,0.0,,tree impurity importance,XGBoost
text__tough,0.0,,tree impurity importance,XGBoost
text__train ai,0.0,,tree impurity importance,XGBoost
text__track,0.0,,tree impurity importance,XGBoost
text__tracking,0.0,,tree impurity importance,XGBoost
text__trade,0.0,,tree impurity importance,XGBoost
text__traditional,0.0,,tree impurity importance,XGBoost
text__traffic,0.0,,tree impurity importance,XGBoost
text__train,0.0,,tree impurity importance,XGBoost
text__trump ai,0.0,,tree impurity importance,XGBoost
text__trust,0.0,,tree impurity importance,XGBoost
text__truth,0.0,,tree impurity importance,XGBoost
text__unlikely,0.0,,tree impurity importance,XGBoost
text__unions,0.0,,tree impurity importance,XGBoost
text__unique,0.0,,tree impurity importance,XGBoost
text__unit,0.0,,tree impurity importance,XGBoost
text__universal,0.0,,tree impurity importance,XGBoost
text__universities,0.0,,tree impurity importance,XGBoost
text__unless,0.0,,tree impurity importance,XGBoost
text__unprecedented,0.0,,tree impurity importance,XGBoost
text__understanding,0.0,,tree impurity importance,XGBoost
text__unsettling,0.0,,tree impurity importance,XGBoost
text__unveils,0.0,,tree impurity importance,XGBoost
text__update,0.0,,tree impurity importance,XGBoost
text__updates,0.0,,tree impurity importance,XGBoost
text__urge,0.0,,tree impurity importance,XGBoost
text__urged,0.0,,tree impurity importance,XGBoost
text__union,0.0,,tree impurity importance,XGBoost
text__understand,0.0,,tree impurity importance,XGBoost
text__try,0.0,,tree impurity importance,XGBoost
text__turning,0.0,,tree impurity importance,XGBoost
text__trying,0.0,,tree impurity importance,XGBoost
text__tuesday,0.0,,tree impurity importance,XGBoost
text__turing,0.0,,tree impurity importance,XGBoost
text__turing institute,0.0,,tree impurity importance,XGBoost
text__turn,0.0,,tree impurity importance,XGBoost
text__turned,0.0,,tree impurity importance,XGBoost
text__turns,0.0,,tree impurity importance,XGBoost
text__uncertainty,0.0,,tree impurity importance,XGBoost
text__tv,0.0,,tree impurity importance,XGBoost
text__type,0.0,,tree impurity importance,XGBoost
text__uk copyright,0.0,,tree impurity importance,XGBoost
text__uk ministers,0.0,,tree impurity importance,XGBoost
text__uk politics,0.0,,tree impurity importance,XGBoost
text__ukraine,0.0,,tree impurity importance,XGBoost
text__took,0.0,,tree impurity importance,XGBoost
text__tony,0.0,,tree impurity importance,XGBoost
text__revenue,0.0,,tree impurity importance,XGBoost
text__tone,0.0,,tree impurity importance,XGBoost
text__tech sector,0.0,,tree impurity importance,XGBoost
text__tech stocks,0.0,,tree impurity importance,XGBoost
text__technological,0.0,,tree impurity importance,XGBoost
text__technologies,0.0,,tree impurity importance,XGBoost
text__technology secretary,0.0,,tree impurity importance,XGBoost
text__techscape ai,0.0,,tree impurity importance,XGBoost
text__teenager,0.0,,tree impurity importance,XGBoost
text__tells,0.0,,tree impurity importance,XGBoost
text__tennis,0.0,,tree impurity importance,XGBoost
text__term,0.0,,tree impurity importance,XGBoost
text__terminator,0.0,,tree impurity importance,XGBoost
text__terrible,0.0,,tree impurity importance,XGBoost
text__terrifying,0.0,,tree impurity importance,XGBoost
text__tesla,0.0,,tree impurity importance,XGBoost
text__tesla ceo,0.0,,tree impurity importance,XGBoost
text__tech giants,0.0,,tree impurity importance,XGBoost
text__tech giant,0.0,,tree impurity importance,XGBoost
text__tech company,0.0,,tree impurity importance,XGBoost
text__taylor,0.0,,tree impurity importance,XGBoost
text__talks,0.0,,tree impurity importance,XGBoost
text__target,0.0,,tree impurity importance,XGBoost
text__targeted,0.0,,tree impurity importance,XGBoost
text__targets,0.0,,tree impurity importance,XGBoost
text__tariffs,0.0,,tree impurity importance,XGBoost
text__tax,0.0,,tree impurity importance,XGBoost
text__taylor swift,0.0,,tree impurity importance,XGBoost
text__tech companies,0.0,,tree impurity importance,XGBoost
text__teach,0.0,,tree impurity importance,XGBoost
text__teachers,0.0,,tree impurity importance,XGBoost
text__teaching,0.0,,tree impurity importance,XGBoost
text__team,0.0,,tree impurity importance,XGBoost
text__teams,0.0,,tree impurity importance,XGBoost
text__tech bros,0.0,,tree impurity importance,XGBoost
text__test,0.0,,tree impurity importance,XGBoost
text__tested,0.0,,tree impurity importance,XGBoost
text__testing,0.0,,tree impurity importance,XGBoost
text__tiktok,0.0,,tree impurity importance,XGBoost
text__threat ai,0.0,,tree impurity importance,XGBoost
text__threaten,0.0,,tree impurity importance,XGBoost
text__threatens,0.0,,tree impurity importance,XGBoost
text__threats,0.0,,tree impurity importance,XGBoost
text__thriller,0.0,,tree impurity importance,XGBoost
text__ties,0.0,,tree impurity importance,XGBoost
text__tilly,0.0,,tree impurity importance,XGBoost
text__thousands,0.0,,tree impurity importance,XGBoost
text__tipping,0.0,,tree impurity importance,XGBoost
text__titans,0.0,,tree impurity importance,XGBoost
text__titles,0.0,,tree impurity importance,XGBoost
text__today newsletter,0.0,,tree impurity importance,XGBoost
text__told,0.0,,tree impurity importance,XGBoost
text__tom hanks,0.0,,tree impurity importance,XGBoost
text__threat,0.0,,tree impurity importance,XGBoost
text__thoughts,0.0,,tree impurity importance,XGBoost
text__tests,0.0,,tree impurity importance,XGBoost
text__theory,0.0,,tree impurity importance,XGBoost
text__texas,0.0,,tree impurity importance,XGBoost
text__thanks,0.0,,tree impurity importance,XGBoost
text__thanks ai,0.0,,tree impurity importance,XGBoost
text__theatre,0.0,,tree impurity importance,XGBoost
text__theft,0.0,,tree impurity importance,XGBoost
text__theories,0.0,,tree impurity importance,XGBoost
text__therapy,0.0,,tree impurity importance,XGBoost
text__thought,0.0,,tree impurity importance,XGBoost
text__things,0.0,,tree impurity importance,XGBoost
text__think,0.0,,tree impurity importance,XGBoost
text__think ai,0.0,,tree impurity importance,XGBoost
text__thinking,0.0,,tree impurity importance,XGBoost
text__thinks,0.0,,tree impurity importance,XGBoost
text__thinktank,0.0,,tree impurity importance,XGBoost
text__urgent,0.0,,tree impurity importance,XGBoost
text__urges,0.0,,tree impurity importance,XGBoost
text__use artificial,0.0,,tree impurity importance,XGBoost
text__use chatgpt,0.0,,tree impurity importance,XGBoost
text__winner,0.0,,tree impurity importance,XGBoost
text__winning,0.0,,tree impurity importance,XGBoost
text__wins,0.0,,tree impurity importance,XGBoost
text__wiped,0.0,,tree impurity importance,XGBoost
text__woes,0.0,,tree impurity importance,XGBoost
text__woman,0.0,,tree impurity importance,XGBoost
text__won,0.0,,tree impurity importance,XGBoost
text__word,0.0,,tree impurity importance,XGBoost
text__words,0.0,,tree impurity importance,XGBoost
text__worked,0.0,,tree impurity importance,XGBoost
text__worker,0.0,,tree impurity importance,XGBoost
text__workforce,0.0,,tree impurity importance,XGBoost
text__working,0.0,,tree impurity importance,XGBoost
text__works,0.0,,tree impurity importance,XGBoost
text__world economic,0.0,,tree impurity importance,XGBoost
text__win,0.0,,tree impurity importance,XGBoost
text__wimbledon,0.0,,tree impurity importance,XGBoost
text__williams,0.0,,tree impurity importance,XGBoost
text__whatsapp,0.0,,tree impurity importance,XGBoost
text__weiwei,0.0,,tree impurity importance,XGBoost
text__welcome,0.0,,tree impurity importance,XGBoost
text__went,0.0,,tree impurity importance,XGBoost
text__wes,0.0,,tree impurity importance,XGBoost
text__west,0.0,,tree impurity importance,XGBoost
text__western,0.0,,tree impurity importance,XGBoost
text__white,0.0,,tree impurity importance,XGBoost
text__wild,0.0,,tree impurity importance,XGBoost
text__white house,0.0,,tree impurity importance,XGBoost
text__whitehall,0.0,,tree impurity importance,XGBoost
text__wide,0.0,,tree impurity importance,XGBoost
text__wider,0.0,,tree impurity importance,XGBoost
text__widespread,0.0,,tree impurity importance,XGBoost
text__wife,0.0,,tree impurity importance,XGBoost
text__world largest,0.0,,tree impurity importance,XGBoost
text__world leaders,0.0,,tree impurity importance,XGBoost
text__worried,0.0,,tree impurity importance,XGBoost
numeric__has_chatgpt,0.0,,tree impurity importance,XGBoost
text__york times,0.0,,tree impurity importance,XGBoost
text__young,0.0,,tree impurity importance,XGBoost
text__young people,0.0,,tree impurity importance,XGBoost
text__zoe,0.0,,tree impurity importance,XGBoost
text__zoe williams,0.0,,tree impurity importance,XGBoost
numeric__post_chatgpt_period,0.0,,tree impurity importance,XGBoost
numeric__has_llm,0.0,,tree impurity importance,XGBoost
text__yes,0.0,,tree impurity importance,XGBoost
numeric__has_generative_ai,0.0,,tree impurity importance,XGBoost
numeric__has_machine_learning,0.0,,tree impurity importance,XGBoost
numeric__has_deep_learning,0.0,,tree impurity importance,XGBoost
numeric__has_neural_network,0.0,,tree impurity importance,XGBoost
numeric__has_gemini,0.0,,tree impurity importance,XGBoost
numeric__has_claude,0.0,,tree impurity importance,XGBoost
text__york,0.0,,tree impurity importance,XGBoost
text__years,0.0,,tree impurity importance,XGBoost
text__worried ai,0.0,,tree impurity importance,XGBoost
text__wpp,0.0,,tree impurity importance,XGBoost
text__worries,0.0,,tree impurity importance,XGBoost
text__worry,0.0,,tree impurity importance,XGBoost
text__worrying,0.0,,tree impurity importance,XGBoost
text__worse,0.0,,tree impurity importance,XGBoost
text__worst,0.0,,tree impurity importance,XGBoost
text__worth,0.0,,tree impurity importance,XGBoost
text__writer,0.0,,tree impurity importance,XGBoost
text__year old,0.0,,tree impurity importance,XGBoost
text__writers,0.0,,tree impurity importance,XGBoost
text__writes,0.0,,tree impurity importance,XGBoost
text__writes arwa,0.0,,tree impurity importance,XGBoost
text__writing,0.0,,tree impurity importance,XGBoost
text__wrongly,0.0,,tree impurity importance,XGBoost
text__wrote,0.0,,tree impurity importance,XGBoost
text__weird,0.0,,tree impurity importance,XGBoost
text__weeks,0.0,,tree impurity importance,XGBoost
text__weekly,0.0,,tree impurity importance,XGBoost
text__view,0.0,,tree impurity importance,XGBoost
text__version,0.0,,tree impurity importance,XGBoost
text__versions,0.0,,tree impurity importance,XGBoost
text__victims,0.0,,tree impurity importance,XGBoost
text__video,0.0,,tree impurity importance,XGBoost
text__video game,0.0,,tree impurity importance,XGBoost
text__videos,0.0,,tree impurity importance,XGBoost
text__view ai,0.0,,tree impurity importance,XGBoost
text__ve,0.0,,tree impurity importance,XGBoost
text__views,0.0,,tree impurity importance,XGBoost
text__violence,0.0,,tree impurity importance,XGBoost
text__violent,0.0,,tree impurity importance,XGBoost
text__viral,0.0,,tree impurity importance,XGBoost
text__virtual,0.0,,tree impurity importance,XGBoost
text__vision,0.0,,tree impurity importance,XGBoost
text__venture,0.0,,tree impurity importance,XGBoost
text__vast,0.0,,tree impurity importance,XGBoost
text__vital,0.0,,tree impurity importance,XGBoost
text__uses ai,0.0,,tree impurity importance,XGBoost
text__use copyrighted,0.0,,tree impurity importance,XGBoost
text__used ai,0.0,,tree impurity importance,XGBoost
text__used chatgpt,0.0,,tree impurity importance,XGBoost
text__used train,0.0,,tree impurity importance,XGBoost
text__useful,0.0,,tree impurity importance,XGBoost
text__user,0.0,,tree impurity importance,XGBoost
text__using artificial,0.0,,tree impurity importance,XGBoost
text__values,0.0,,tree impurity importance,XGBoost
text__using chatgpt,0.0,,tree impurity importance,XGBoost
text__valley,0.0,,tree impurity importance,XGBoost
text__valuable,0.0,,tree impurity importance,XGBoost
text__valuation,0.0,,tree impurity importance,XGBoost
text__value,0.0,,tree impurity importance,XGBoost
text__valued,0.0,,tree impurity importance,XGBoost
text__visit,0.0,,tree impurity importance,XGBoost
text__vocal,0.0,,tree impurity importance,XGBoost
text__week newsletter,0.0,,tree impurity importance,XGBoost
text__wave,0.0,,tree impurity importance,XGBoost
text__wary,0.0,,tree impurity importance,XGBoost
text__washington,0.0,,tree impurity importance,XGBoost
text__waste,0.0,,tree impurity importance,XGBoost
text__watch,0.0,,tree impurity importance,XGBoost
text__watch foundation,0.0,,tree impurity importance,XGBoost
text__water,0.0,,tree impurity importance,XGBoost
text__way,0.0,,tree impurity importance,XGBoost
text__warns ai,0.0,,tree impurity importance,XGBoost
text__ways ai,0.0,,tree impurity importance,XGBoost
text__wealth,0.0,,tree impurity importance,XGBoost
text__weapons,0.0,,tree impurity importance,XGBoost
text__web,0.0,,tree impurity importance,XGBoost
text__websites,0.0,,tree impurity importance,XGBoost
text__wednesday,0.0,,tree impurity importance,XGBoost
text__wars,0.0,,tree impurity importance,XGBoost
text__warnings,0.0,,tree impurity importance,XGBoost
text__vocals,0.0,,tree impurity importance,XGBoost
text__wales,0.0,,tree impurity importance,XGBoost
text__voices,0.0,,tree impurity importance,XGBoost
text__vote,0.0,,tree impurity importance,XGBoost
text__voters,0.0,,tree impurity importance,XGBoost
text__vulnerable,0.0,,tree impurity importance,XGBoost
text__waiting,0.0,,tree impurity importance,XGBoost
text__wake,0.0,,tree impurity importance,XGBoost
text__walker,0.0,,tree impurity importance,XGBoost
text__warning,0.0,,tree impurity importance,XGBoost
text__wall street,0.0,,tree impurity importance,XGBoost
text__want,0.0,,tree impurity importance,XGBoost
text__wanted,0.0,,tree impurity importance,XGBoost
text__war,0.0,,tree impurity importance,XGBoost
text__warfare,0.0,,tree impurity importance,XGBoost
text__warned,0.0,,tree impurity importance,XGBoost
text__talking,0.0,,tree impurity importance,XGBoost
text__talk,0.0,,tree impurity importance,XGBoost
text__tale,0.0,,tree impurity importance,XGBoost
text__sharing,0.0,,tree impurity importance,XGBoost
text__scramble,0.0,,tree impurity importance,XGBoost
text__scraping,0.0,,tree impurity importance,XGBoost
text__screen,0.0,,tree impurity importance,XGBoost
text__screening,0.0,,tree impurity importance,XGBoost
text__scripts,0.0,,tree impurity importance,XGBoost
text__scrutiny,0.0,,tree impurity importance,XGBoost
text__search,0.0,,tree impurity importance,XGBoost
text__search engine,0.0,,tree impurity importance,XGBoost
text__season,0.0,,tree impurity importance,XGBoost
text__seats,0.0,,tree impurity importance,XGBoost
text__second,0.0,,tree impurity importance,XGBoost
text__seconds,0.0,,tree impurity importance,XGBoost
text__secret,0.0,,tree impurity importance,XGBoost
text__secrets,0.0,,tree impurity importance,XGBoost
text__sector,0.0,,tree impurity importance,XGBoost
text__scottish,0.0,,tree impurity importance,XGBoost
text__scientists,0.0,,tree impurity importance,XGBoost
text__scientist,0.0,,tree impurity importance,XGBoost
text__scary,0.0,,tree impurity importance,XGBoost
text__scams,0.0,,tree impurity importance,XGBoost
text__scan,0.0,,tree impurity importance,XGBoost
text__scans,0.0,,tree impurity importance,XGBoost
text__scared,0.0,,tree impurity importance,XGBoost
text__scarlett,0.0,,tree impurity importance,XGBoost
text__scarlett johansson,0.0,,tree impurity importance,XGBoost
text__scenes,0.0,,tree impurity importance,XGBoost
text__scientific,0.0,,tree impurity importance,XGBoost
text__scheme,0.0,,tree impurity importance,XGBoost
text__school,0.0,,tree impurity importance,XGBoost
text__schools,0.0,,tree impurity importance,XGBoost
text__sci,0.0,,tree impurity importance,XGBoost
text__sci fi,0.0,,tree impurity importance,XGBoost
text__science,0.0,,tree impurity importance,XGBoost
text__security,0.0,,tree impurity importance,XGBoost
text__seeing,0.0,,tree impurity importance,XGBoost
text__seek,0.0,,tree impurity importance,XGBoost
text__seven,0.0,,tree impurity importance,XGBoost
text__seriously,0.0,,tree impurity importance,XGBoost
text__servers,0.0,,tree impurity importance,XGBoost
text__service,0.0,,tree impurity importance,XGBoost
text__services,0.0,,tree impurity importance,XGBoost
text__set,0.0,,tree impurity importance,XGBoost
text__sets,0.0,,tree impurity importance,XGBoost
text__sex,0.0,,tree impurity importance,XGBoost
text__sentient,0.0,,tree impurity importance,XGBoost
text__sexual,0.0,,tree impurity importance,XGBoost
text__sexual abuse,0.0,,tree impurity importance,XGBoost
text__shadow,0.0,,tree impurity importance,XGBoost
text__shape,0.0,,tree impurity importance,XGBoost
text__shaping,0.0,,tree impurity importance,XGBoost
text__shared,0.0,,tree impurity importance,XGBoost
text__series,0.0,,tree impurity importance,XGBoost
text__sent,0.0,,tree impurity importance,XGBoost
text__seeking,0.0,,tree impurity importance,XGBoost
text__sell,0.0,,tree impurity importance,XGBoost
text__seeks,0.0,,tree impurity importance,XGBoost
text__seen,0.0,,tree impurity importance,XGBoost
text__sees,0.0,,tree impurity importance,XGBoost
text__select,0.0,,tree impurity importance,XGBoost
text__self,0.0,,tree impurity importance,XGBoost
text__self driving,0.0,,tree impurity importance,XGBoost
text__senate,0.0,,tree impurity importance,XGBoost
text__sensitive,0.0,,tree impurity importance,XGBoost
text__senator,0.0,,tree impurity importance,XGBoost
text__send,0.0,,tree impurity importance,XGBoost
text__sending,0.0,,tree impurity importance,XGBoost
text__sends,0.0,,tree impurity importance,XGBoost
text__senior,0.0,,tree impurity importance,XGBoost
