feature,importance,signed_coefficient,importance_type,model
text__hollywood,0.003316336,,tree impurity importance,XGBoost
text__moment,0.0033057048,,tree impurity importance,XGBoost
numeric__n_keyword_tags,0.0032998014,,tree impurity importance,XGBoost
text__coming,0.0032992228,,tree impurity importance,XGBoost
text__ready,0.003296329,,tree impurity importance,XGBoost
text__questions,0.0032958013,,tree impurity importance,XGBoost
text__news,0.0032957892,,tree impurity importance,XGBoost
text__research,0.0032813821,,tree impurity importance,XGBoost
text__ai,0.0032711162,,tree impurity importance,XGBoost
text__chip,0.003261104,,tree impurity importance,XGBoost
text__expert,0.0032579233,,tree impurity importance,XGBoost
text__green,0.003257625,,tree impurity importance,XGBoost
text__text,0.0032503947,,tree impurity importance,XGBoost
text__products,0.0032498017,,tree impurity importance,XGBoost
text__guardian,0.0032226196,,tree impurity importance,XGBoost
text__written,0.0032181907,,tree impurity importance,XGBoost
text__times,0.0032156657,,tree impurity importance,XGBoost
text__workers,0.003203395,,tree impurity importance,XGBoost
text__fake,0.0031887328,,tree impurity importance,XGBoost
text__does,0.0031850007,,tree impurity importance,XGBoost
text__revealed,0.00317459,,tree impurity importance,XGBoost
text__bubble,0.0031637275,,tree impurity importance,XGBoost
text__power,0.0031523327,,tree impurity importance,XGBoost
text__uses,0.0031504263,,tree impurity importance,XGBoost
text__share,0.003147711,,tree impurity importance,XGBoost
text__tools,0.0031476356,,tree impurity importance,XGBoost
text__replace,0.0031358625,,tree impurity importance,XGBoost
text__queensland,0.0031354425,,tree impurity importance,XGBoost
text__academic,0.0031343151,,tree impurity importance,XGBoost
text__systems,0.003123983,,tree impurity importance,XGBoost
text__big tech,0.003116433,,tree impurity importance,XGBoost
text__weather,0.0031104418,,tree impurity importance,XGBoost
text__using ai,0.0031012842,,tree impurity importance,XGBoost
text__just,0.0031005407,,tree impurity importance,XGBoost
text__parents,0.0030981558,,tree impurity importance,XGBoost
text__labour,0.0030729142,,tree impurity importance,XGBoost
text__generated,0.003033966,,tree impurity importance,XGBoost
text__british,0.003027063,,tree impurity importance,XGBoost
text__new,0.0030216454,,tree impurity importance,XGBoost
text__warns,0.003018413,,tree impurity importance,XGBoost
text__ways,0.003014119,,tree impurity importance,XGBoost
text__program,0.0030104278,,tree impurity importance,XGBoost
text__world,0.0030082213,,tree impurity importance,XGBoost
text__thing,0.003001592,,tree impurity importance,XGBoost
text__study finds,0.0029999912,,tree impurity importance,XGBoost
text__women,0.0029978924,,tree impurity importance,XGBoost
text__minister,0.0029843294,,tree impurity importance,XGBoost
text__real,0.0029664526,,tree impurity importance,XGBoost
text__create,0.0029351406,,tree impurity importance,XGBoost
text__keir,0.0029308454,,tree impurity importance,XGBoost
text__youtube,0.0029277632,,tree impurity importance,XGBoost
numeric__wordcount,0.002922404,,tree impurity importance,XGBoost
text__benefits,0.0029160024,,tree impurity importance,XGBoost
text__heart,0.0029157132,,tree impurity importance,XGBoost
text__help,0.0029156043,,tree impurity importance,XGBoost
text__attack,0.0029132923,,tree impurity importance,XGBoost
text__ban,0.002909045,,tree impurity importance,XGBoost
text__shopping,0.0028886024,,tree impurity importance,XGBoost
